PLAYER,SEASON,AGE,MPG,PPG,TRB,AST,BLK,ST,TOV,PF,FTM,3PM,GP,W,+/-,WIN_RATE,PEAK_AGE_DIST,REALE_NEXT_PPG,PREDIZIONE
Vesely J.,2024-2025,35,21.90909090909091,9.363636363636363,83,43,11,25,19,52,27,7,22,12,35,0.5454545454545454,8,8.6,6.2
Vezenkov S.,2024-2025,29,30.375,20.15625,212,56,7,26,36,38,149,58,32,23,211,0.71875,2,19.424242424242426,16.3
Vildoza L.,2024-2025,29,17.88888888888889,5.2592592592592595,44,71,3,20,25,54,12,32,27,19,19,0.7037037037037037,2,7.580645161290323,7.8
Voigtmann J.,2024-2025,32,23.970588235294116,6.735294117647059,173,82,7,19,49,57,20,37,34,19,-2,0.5588235294117647,5,3.772727272727273,7.1
Walker L.,2024-2025,26,22.31578947368421,13.631578947368421,60,35,3,18,36,31,48,39,19,6,-60,0.3157894736842105,1,14.851851851851851,11.2
Walkup T.,2024-2025,32,21.3,4.65,48,92,3,22,35,56,8,15,20,14,91,0.7,5,5.0,6.3
Ward T.,2024-2025,27,26.0,10.911764705882353,170,47,6,33,32,89,51,58,34,19,140,0.5588235294117647,0,7.290322580645161,10.0
Washigton D.,2024-2025,25,14.833333333333334,7.722222222222222,19,32,0,8,17,30,32,11,18,7,37,0.3888888888888889,2,14.91304347826087,7.2
Weiler Babb N.,2024-2025,29,26.40625,8.1875,133,158,2,50,54,78,23,55,32,19,140,0.59375,2,7.861111111111111,7.0
Williams Goss N.,2024-2025,30,22.466666666666665,8.4,61,111,1,23,54,77,65,19,30,23,106,0.7666666666666667,3,11.615384615384615,8.6
Williams T.,2024-2025,24,21.6875,10.625,111,49,9,10,45,54,24,12,16,3,-116,0.1875,3,8.875,7.2
Willis D.,2024-2025,30,11.857142857142858,3.238095238095238,54,7,7,10,8,18,12,8,21,10,40,0.47619047619047616,3,5.888888888888889,5.8
Wright M.,2024-2025,26,13.066666666666666,5.333333333333333,41,9,7,9,15,23,19,1,15,10,4,0.6666666666666666,1,12.81081081081081,8.2
Yurtseven O.,2024-2025,27,13.666666666666666,8.0,89,13,19,5,29,40,25,3,24,15,13,0.625,0,6.2631578947368425,8.3
Zagars A.,2024-2025,25,14.954545454545455,5.863636363636363,25,51,1,9,29,44,39,22,22,16,18,0.7272727272727273,2,3.4,7.7
